k,Frequency,Length,Mean_Latency (ms),Median_Latency (ms),Std_Latency (ms),Filtered_Outliers,Sample_Size
5,High,Short,37.994062395309285,31.579378992319107,17.4734725785238,91,8969
5,High,Medium,37.76385384622347,30.93381505459547,17.265551267510933,88,8642
5,High,Long,37.85665503319776,31.269242987036705,17.3585433971794,66,6444
5,Medium,Short,38.076506080464895,31.758680939674377,17.302558975500475,92,9028
5,Medium,Medium,37.74132559503006,31.280948780477047,17.176447595684138,84,8226
5,Medium,Long,37.932267985071924,31.459253281354904,17.199141425980248,54,5316
5,Low,Short,38.4917678967955,32.345205545425415,17.675693198668988,93,9207
5,Low,Medium,38.60326329380408,32.49152284115553,17.567314625940227,90,8880
5,Low,Long,38.42937145481394,32.08316396921873,17.622071569334434,54,5256
50,High,Short,50.83681833011867,49.609679728746414,30.369380882689075,91,8969
50,High,Medium,49.1704150495089,49.93663541972637,25.70392812771127,88,8642
50,High,Long,49.852403828008235,50.10385438799858,26.556031300959564,66,6444
50,Medium,Short,53.964716000635114,50.21087825298309,37.3515905062086,92,9028
50,Medium,Medium,49.135633432952815,49.51979871839285,25.494131632502484,84,8226
50,Medium,Long,50.2191142118105,50.371529534459114,27.018151460623923,54,5316
50,Low,Short,61.55564966522043,51.015228033065796,53.284175720596856,93,9207
50,Low,Medium,59.907841510642825,50.61236955225468,50.26659694825992,90,8880
50,Low,Long,58.683168343615634,50.98529905080795,46.49883149635444,54,5256
100,High,Short,54.86840609955753,52.5936558842659,35.06509290200888,91,8969
100,High,Medium,52.77620624208569,51.94802209734917,28.213406646854715,88,8642
100,High,Long,53.56167078603228,52.110073156654835,29.236170636484744,66,6444
100,Medium,Short,59.41400597698072,52.826921455562115,47.95101763849421,92,9028
100,Medium,Medium,52.70049666703733,51.741530187428,27.980470043605557,84,8226
100,Medium,Long,54.36129778226945,52.65100300312042,30.636721716836085,54,5316
100,Low,Short,68.35299431391573,53.881192579865456,70.70473390764441,93,9207
100,Low,Medium,66.74468739436486,53.484504111111164,66.23002166265924,90,8880
100,Low,Long,64.47243450359757,53.67845669388771,61.04068927535838,54,5256
200,High,Short,71.07354440056689,56.63469620049,70.53881615022983,91,8969
200,High,Medium,62.50742588772442,56.193310767412186,47.16491199917621,88,8642
200,High,Long,64.79076736865069,56.733145378530025,52.36449988024754,66,6444
200,Medium,Short,86.8838013675498,59.686241671442986,99.81632350459626,92,9028
200,Medium,Medium,62.63349237567624,56.125231087207794,48.80022267352197,84,8226
200,Medium,Long,65.11852793652001,57.09529761224985,52.622624872581376,54,5316
200,Low,Short,117.2297298513734,60.806719586253166,144.83213749256154,93,9207
200,Low,Medium,112.81907560035317,61.07759568840265,137.6531526027321,90,8880
200,Low,Long,105.99858619951709,60.82242168486118,129.71656414541735,54,5256
